user_id,word,time_ms,mistypes
u1,down,3451,0
u1,everything,2383,0
u1,morning,2378,0
u1,he's,1573,0
u1,go,1056,0
u1,get,1246,0
u1,left,1906,0
u1,war,1077,0
u1,group,1710,0
u1,wrong,1262,0
u1,yourself,2509,0
u1,however,1580,0
u1,found,1631,0
u1,want,1457,0
u1,including,2974,0
u1,general,1769,0
u1,thought,1632,0
u1,working,1361,0
u1,for,1104,0
u1,there,1204,0
u1,house,1388,0
u1,on,1063,0
u1,don't,1675,0
u1,service,1738,0
u1,before,1429,0
u1,if,1053,0
u1,else,1229,0
u1,next,1389,0
u1,time,1122,0
u1,her,1138,0
u1,pay,1221,0
u1,won't,1440,0
u1,very,2320,0
u1,soon,1155,0
u1,taking,1394,0
u1,late,2211,1
u1,important,2807,0
u1,back,1259,0
u1,order,1317,0
u1,its,1134,0
u1,someone,1305,0
u1,than,1197,0
u1,never,1264,0
u1,thanks,1279,0
u1,like,1370,0
u1,problem,1566,0
u1,around,1552,0
u1,may,2202,1
u1,are,1381,0
u1,make,1168,0
u1,remember,2403,0
u1,minutes,1906,0
u1,those,1459,0
u1,part,1094,0
u1,into,1191,0
u1,within,1409,0
u1,due,1067,0
u1,talk,1164,0
u1,ask,1120,0
u1,called,1370,0
u1,order,1362,0
u1,same,1377,0
u1,court,1321,0
u1,wanted,1465,0
u1,playing,1393,0
u1,law,968,0
u1,order,1237,0
u1,north,3198,0
u1,go,1037,0
u1,hours,1641,0
u1,future,1297,0
u1,music,1743,0
u1,area,1096,0
u1,top,1735,0
u1,happy,1512,0
u1,show,1253,0
u1,pretty,1511,0
u1,like,1343,0
u1,room,1122,0
u1,south,1254,0
u1,tell,1234,0
u1,development,2365,0
u1,mean,1294,0
u1,thanks,1289,0
u1,such,1299,0
u1,close,1520,0
u1,team,1184,0
u1,power,1422,0
u1,seen,1376,0
u1,makes,1929,0
u1,few,1156,0
u1,call,1199,0
u1,even,1325,0
u1,water,1187,0
u1,made,2008,0
u1,don't,1337,0
u1,big,1175,0
u1,one,1116,0
u1,happy,1407,0
u1,if,1021,0
u1,believe,2566,0
u1,matter,1435,0
u1,looking,1565,0
u1,world,1314,0
u1,today,1609,0
u1,almost,1371,0
u1,place,1166,0
u1,talk,1663,0
u1,very,1332,0
u1,yourself,1944,0
u1,had,1187,0
u1,done,1200,0
u1,services,3611,0
u1,friends,1623,0
u1,three,1687,0
u1,under,1209,0
u1,local,1298,0
u1,the,1070,0
u1,must,1166,0
u1,put,1253,0
u1,asked,1272,0
u1,post,3561,1
u1,have,1787,0
u1,past,1208,0
u1,don't,1447,0
u1,is,2195,0
u1,group,1816,0
u1,well,1283,0
u1,future,1375,0
u1,men,1317,0
u1,party,1445,0
u1,members,1551,0
u1,case,1403,0
u1,his,1368,0
u1,had,1191,0
u1,once,1134,0
u1,way,1269,0
u1,death,1314,0
u1,among,1234,0
u1,following,2016,0
u1,things,1323,0
u1,each,1186,0
u1,may,1126,0
u1,day,1159,0
u1,under,1902,0
u1,play,2291,1
u1,court,1529,0
u1,based,1692,0
u1,group,1647,0
u1,of,976,0
u1,seen,1673,0
u1,hit,1197,0
u1,look,1336,0
u1,level,1331,0
u1,just,1249,0
u1,enough,1559,0
u1,case,1769,0
u1,information,1812,0
u1,large,1682,0
u1,even,892,0
u1,mean,1064,0
u1,about,1405,0
u1,government,2168,0
u1,hit,1183,0
u1,mr,1007,0
u1,thanks,1388,0
u1,ago,1113,0
u1,soon,1171,0
u1,services,1765,0
u1,control,4037,0
u1,whether,1510,0
u1,well,2171,1
u1,thing,2456,0
u1,children,2076,0
u1,first,1260,0
u1,family,1828,0
u1,you're,2868,0
u1,down,1209,0
u1,done,1233,0
u1,first,1263,0
u1,true,1872,0
u1,set,1147,0
u1,around,2293,0
u1,being,1446,0
u1,rather,1829,0
u1,time,1702,0
u1,women,1440,0
u1,back,1268,0
u1,buy,1174,0
u1,way,1333,0
u1,water,1384,0
u1,development,3834,0
u1,there,1245,0
u1,everyone,1676,0
u1,women,1278,0
u1,school,1753,0
u1,it,1051,0
u1,mean,1257,0
u1,win,1094,0
u1,others,1944,0
u1,money,1276,0
u1,hours,1655,0
u1,community,1935,0
u1,which,2076,0
u1,third,2147,0
u1,child,1604,0
u1,had,1139,0
u1,however,1594,0
u1,either,1275,0
u1,special,1511,0
u1,series,1421,0
u1,trying,1423,0
u1,really,1359,0
u1,am,1164,0
u1,while,2235,0
u1,you're,1665,0
u1,again,2205,0
u1,say,1232,0
u1,talk,1475,0
u1,might,1206,0
u1,age,1242,0
u1,only,1302,0
u1,story,1422,0
u1,she,1064,0
u1,true,1288,0
u1,since,3210,0
u1,possible,1797,0
u1,known,2099,0
u1,way,1244,0
u1,government,1877,0
